file,energy_before_eV,energy_after_eV,natoms,relaxed_cif
struct_0628.cif,-92.269936,-92.27743,12,struct_0628_relaxed.cif
struct_0629.cif,-52.20083,-52.20163,7,struct_0629_relaxed.cif
struct_0630.cif,-28.22215,-28.23854,4,struct_0630_relaxed.cif
struct_0631.cif,-59.36976,-59.3698,8,struct_0631_relaxed.cif
struct_0632.cif,-92.28078,-92.284615,12,struct_0632_relaxed.cif
struct_0633.cif,-159.76952,-159.78171,20,struct_0633_relaxed.cif
struct_0634.cif,-63.536182,-63.538246,9,struct_0634_relaxed.cif
struct_0635.cif,-29.650494,-29.65057,4,struct_0635_relaxed.cif
struct_0636.cif,-58.753147,-58.771725,8,struct_0636_relaxed.cif
struct_0637.cif,-42.809414,-43.64498,6,struct_0637_relaxed.cif
struct_0638.cif,-75.86606,-75.96834,10,struct_0638_relaxed.cif
struct_0639.cif,-163.95288,-164.02344,20,struct_0639_relaxed.cif
struct_0640.cif,-109.78004,-109.866554,14,struct_0640_relaxed.cif
struct_0641.cif,-79.83366,-79.84711,10,struct_0641_relaxed.cif
struct_0642.cif,-61.101166,-61.2178,9,struct_0642_relaxed.cif
struct_0643.cif,-58.30431,-58.43788,8,struct_0643_relaxed.cif
struct_0644.cif,-56.708622,-56.7092,8,struct_0644_relaxed.cif
struct_0645.cif,-52.28579,-52.389214,8,struct_0645_relaxed.cif
struct_0646.cif,-29.651447,-29.651447,4,struct_0646_relaxed.cif
struct_0647.cif,-110.991,-111.25277,16,struct_0647_relaxed.cif
struct_0648.cif,-28.475883,-28.478617,4,struct_0648_relaxed.cif
struct_0649.cif,-28.476522,-28.477552,4,struct_0649_relaxed.cif
struct_0650.cif,-59.013306,-59.013756,8,struct_0650_relaxed.cif
struct_0651.cif,-92.26551,-92.27102,12,struct_0651_relaxed.cif
struct_0652.cif,-19.203953,-19.285961,4,struct_0652_relaxed.cif
struct_0653.cif,-81.985565,-82.00968,11,struct_0653_relaxed.cif
struct_0654.cif,-28.478817,-28.479515,4,struct_0654_relaxed.cif
struct_0655.cif,-158.3029,-158.5477,20,struct_0655_relaxed.cif
struct_0656.cif,-28.479164,-28.482563,4,struct_0656_relaxed.cif
struct_0657.cif,-52.199173,-52.19952,7,struct_0657_relaxed.cif
struct_0658.cif,-41.809418,-41.850372,6,struct_0658_relaxed.cif
struct_0659.cif,-40.033115,-40.033775,5,struct_0659_relaxed.cif
struct_0660.cif,-80.020546,-80.04457,10,struct_0660_relaxed.cif
struct_0661.cif,-94.44398,-95.10917,13,struct_0661_relaxed.cif
